comcode,comname_std
286432,紫光股份
127470171,大疆卓驭（DJI Automotive）
5339572,主线科技
1293976,中科创达
5155198,知行科技
358704,亚太股份
341092,长城汽车
286316,长安汽车
6127308,泽景电子
7559898,元戎启行
2882290,佑驾创新
7154934,易控智驾
6604405,新石器无人车
4975395,芯驰科技
8036928,小鹏汽车
182645413,小马智行
,小康股份
5965339,享道出行
1079890,现代摩比斯
6562647,矽杰微电子
6561880,希迪智驾
2536661,伯特利
9372067,文远知行
5209493,蔚来汽车
1320916,伟创力
5795154,维宁尔
90178664,万都
6868602,同驭汽车
1776435,特斯拉
31056241,速腾聚创
606249,舜宇光学
285755,上汽集团
8354689,商汤
1111255,赛力斯汽车
2797363,瑞芯微
37524352,如祺出行
2164761,丘钛科技
,前锋股份
9399691,千挂科技
456132,奇瑞汽车
426718,欧菲光集团股份有限公司
1749642,耐世特
3344180,零跑汽车
6649708,灵明光子
278202,联创电子
8012069,理想汽车
1331851,科博达
86376387,九识智能
6079163,经纬恒润
351942,吉利汽车
1730557,德赛西威
285296,华域汽车
9946851,黑芝麻智能
809811,和硕
173742009,禾赛科技
4107491,豪恩汽电
7994483,毫末智行
357630,海康威视
350936,广汽集团
808385,广达
5241590,格陆博科技
6268539,高云半导体
6249881,福瑞泰克
10473650,法雷奥
286286,东软集团
349905,东风集团
641507,DENSO
1958417,滴滴出行
92797927,地平线
10489609,大陆集团
96685391,曹操出行
621988,博世
299644,比亚迪
3039306,北醒光子
285678,北汽蓝谷
817510,北京汽车
1158390,百度
,WRD Capital
7924775,White Rhino（白犀牛）
,SiFive
10110390,Robert Bosch GmbH
1320222,Qualcomm
1963120,NXP Semiconductors
1320959,NVIDIA
6126523,Mobileye
614801,Magna International
8234911,Innoviz Technologies
349065,华为
3019336,momenta
2792228,Uber
1158390,百度Apollo
8195554,Waymo
